Operacja zamknięcia (zaznacz zdania prawdziwe):;bada zgodność otoczenia analizowanych punktów z elementem strukturalnym (maską);nie zmienia w istotny sposób pola powierzchni dużych figur (dla obrazów binarnych);wypełnia wąskie wcięcia i zatoki;to kolejne wykonanie na obrazie najpierw erozji, a następnie dylatacji;;abc
Zaznacz poprawne stwierdzenia dotyczące filtra NL-means (non-local means):;niska złożoność obliczeniowa i duża dokładność filtracji;wysoka złożoność obliczeniowa i duża dokładność filtracji;do poprawnego działania filtr NL-means wymaga obrazu referencyjnego (na przykład obraz przefiltrowany innym filtrem;filtr ustala wagi na podstawie podobieństw jasności punktów w oknie lokalnym i globalnym;;bd
Z wymienionych poniżej, wskaż przestrzenie barw, w których wyróżnia się osobną składową jasności obrazu:;CMY;RGB;CMYK;YUV;HSV;de
W poznanym na zajęciach algorytmie indeksacji:;po pierwszym przebiegu piksele należące do jednego obiektu mogą mieć różne etykiety;analizowane jest otoczenie o rozmiarze 5x5;po pierwszym przebiegu wszystkie obiekty muszą mieć poprawne etykiety;potencjalne konflikty (wielokrotne etykiety) zapisywane są w strukturze zbiorów rozłącznych (uninon find);;ad
Modelem barw często stosowanym w urządzeniach drukujących jest:;YCrCb;HSV;Lab;BGR;CMYK;e
Cechą charakterystyczną maski filtru górnoprzepustowego jest:;suma współczynników < 0;suma współczynników > 0;suma współczynników = 0;;;c
Czy następujące zdanie jest poprawne? Konwolucja w dziedzinie przestrzennej odpowiada mnożeniu w dziedzinie częstotliwości.;nie;tak, ale tylko wtedy, gdy wymiary rozdzielczości przestrzennej F-obrazu są potęgą liczby 2;tak, ale tylko wtedy, gdy wymiary rozdzielczości przestrzennej obrazu są potęgą liczby 2;tak;;d
W którym kroku algorytmu wyrównania histogramu następuje rezygnacja z części ułamkowej:;obliczenie histogramu skumulowanego;przemnożenie przez maksymalną wartość poziomu jasności;podzielenie przez wartość równą liczbie pikseli;określnie przekształcenia LUT;;d
Histogram skumulowany to funkcja wyznaczona na podstawie histogramu w następujący sposób: pierwszy element to liczba pikseli o odcieniu 0, a kolejne wartości to liczba pikseli oodcieniu k pomnożona przez numer odcienia:;FAŁSZ;PRAWDA;;;;a
W jakich sytuacjach metoda najbliższego sąsiada daje lepsze efekty niż interpolacja dwuliniowa:;w przypadku niektórych naturalnych obrazów, z bogatą paletą odcieni szarości;zawsze;w przypadku niektórych sztucznych obrazów, z bardzo ograniczoną paletą odcieni szarości;nigdy;;c
Który z poniższych filtrów można zaadaptować do filtracji szumu niestacjonarnego w obrazie cyfrowym?;filtracja splotowa;filtracja bilateralna;filtracja NL-means (non-local means);żaden z powyższych;;bc
Zaznacz poprawne stwierdzenia.;punktowi w przestrzeni kartezjańskiej odpowiada punkt w przestrzeni Hougha (A, B);prostej w przestrzeni kartezjańskiej odpowiada pęk prostych w przestrzeni Hougha (A, B);prostej w przestrzeni kartezjańskiej odpowiada punkt w przestrzeni Hougha (A, B);punktowi w przestrzeni kartezjańskiej odpowiada prosta w przestrzeni Hougha (A, B);;cd
Czy w filtrze NL-means (non-local means) wartość punktu centralnego otoczenia jest brana pod uwagę podczas filtracji?;nie;tak;;;;b
Czy transformata Hougha może wykryć prostą, która nie jest ciągła?;tak, zawsze;"zależnie od ""stopnia"" nieciągłości";nie;zależnie od jej nachylenia;;b
"Opis: ""niska czułość, widzenie przy dobrym oświetleniu, widzenie barwne"" odpowiada:";czopkom;pręcikom;;;;a
"Wybierz zdania prawdziwe na temat adaptacyjnej filtracji medianowej - takiej jak w zadaniu domowym do ćwiczenia ""Przetwarzanie wstępne"":";adaptacyjność filtra polega na naprzemiennym stosowaniu filtracji medianowej i dolnoprzepustowej;filtr adaptacyjny działa szybciej niż zwykła mediana (jest mniej złożony obliczeniowo);jednym z etapów działania jest określenie wartości min i max w oknie;adaptacyjność filtra polega na zmianie rozmiaru okna filtracji;;cd
Rezultatem indeksacji jest obraz:;binarny;kolorowy (RGB);w skali szarości;kolorowy (YCbCr);;c
Erozja morfologiczna powoduje:;rozrost figury;zmniejszenie pola figury;likwidacją niewielkich wypustek;likwidację niewielkich dziur i nieciągłości;;bc
Dla segmentacji przez rozrost zaznacz zdania prawdziwe:;metoda wymaga wyboru punktu startowego;obliczenia są przerywane, w przypadku, gdy różnica w jasności (kolorze) pomiędzy bieżącym pikselem, a jednym z sąsiadów przekroczy ustalony próg;metoda działa poprawnie tylko, gdy wykorzystuje się stos (a nie np. kolejkę);w każdym kroku sprawdzane jest sąsiedztwo danego piksela;;ad
Wyznaczono dwuwymiarową transformatę DCT całego obrazu. Gdzie będą znajdowały się niskie częstotliwości w F obrazie?;w prawym dolnym rogu F-obrazu;w centrum F-obrazu;na krawędziach F-obrazu;jest to zależne od obrazu;w lewym górnym rogu F-obrazu;e
Operacja wyrównywania histogramu w RGB (osobno dla każdej ze składowych) nie powoduje znaczącej zmiany kolorów w obrazie:;FAŁSZ;PRAWDA;;;;a
Filtracja dolnoprzepustowa pozwala głównie usunąć/zredukować:;szum typu Gaussowskiego;szum impulsowy;;;;a
Dla obrazu czarno - białej szachownicy wykonujemy przeskalowanie do dwukrotnie większej rozdzielczości. Stosujemy dwie metody: ``najbliższego sąsiada'' oraz interpolację.Która da lepszy rezultat (wizualnie) ?;najbliższego sąsiada;interpolacja;obie dadzą zbliżony wynik;;;a
Które z poniższych operacji morfologicznych mogą zwiększać pole figury poddanej przekształceniu:;ścieranie;erozja;otwarcie;dylatacja;;d
Luminacja Y niesie informację o:;poziomie jasności piksela;obecności koloru czerwonego w pikselu;obecności koloru niebieskiego w pikselu;obecności koloru zielonego w pikselu;;a
Plamka ślepa to:;miejsce o największym skupieniu czopków;ujście nerwu wzorkowego;;;;b
Prostej w przestrzeni kartezjańskiej odpowiada w przestrzeni Hougha (rho, theta):;pęk prostych;sinusoida;prosta;punkt;;d
Zaznacz cechy naturalnego przetwarzania obrazu przewyższające jego sztuczny odpowiednik: ;powtarzalność wyników;szybka analiza złożonych obrazów;większa skuteczność rozpoznawania obrazów dwuznacznych;szybsze rozpoznawanie prostych obrazów w czasie rzeczywistym;;bc
Parametrami algorytmu Canny są:;tylko sigma - odchylenie standardowe rozkładu normalnego;sigma - odchylenie standardowe rozkładu normalnego oraz próg binaryzacji T;sigma - odchylenie standardowe rozkładu normalnego oraz dwa progi binaryzacji T1 i T2;tylko dwa progi binaryzacji T1 i T2;;c
Metoda lokalnej binaryzacji Sauvoli wykorzystuje jako parametry:;wartość maksymalną w oknie;odchylenie standardowe w oknie;średnią jasność w oknie;splot okna z filtrem Gabora;wartość minimalną w oknie;bc
Plamka żółta w oku to:;ujście nerwu wzorkowego;miejsce o największym skupieniu czopków;;;;b
Wyrównanie histogramu niesie za sobą:;poprawę subiektywnego odbioru obrazu;utratę informacji niesionej przez obraz;zmniejszenie liczby rozróżnialnych (przez człowieka) poziomów szarości;zwiększenie liczby rozróżnialnych (przez człowieka) poziomów szarości;;abd
Które z poniższych operacji morfologicznych mogą zmniejszać pole figury poddanej przekształceniu:;dylatacja;zamknięcie;ścieranie;erozja;;cd
Na jakim etapie (etapach) następuje kompresja danych w standardzie JPEG?;kodowanie RLE;kwantyzacja;przekształcenie DCT;operacja zig-zag;;ab
Czy wykorzystując Laplasjan można osiągnąć efekt wyostrzenia obrazu?;tak;nie;tak, ale jeśli wczesniej obraz zostanie przefiltrowany filtrem Gaussa;;;a
"Opis: ""wysoka czułość, widzenie w nocy, reakcja na intensywność światła"" odpowiada:";pręcikom;czopkom;;;;a
Kiedy jednopunktowe przekształcenie obrazu jest odwracalne:;nigdy;tylko jeśli funkcja przekształcająca jest malejąca;jeśli funkcja przekształcająca jest ściśle monotoniczna;tylko jeśli funkcja przekształcająca jest rosnąca;zawsze;c
Element F w transformacji Fouriera odpowiada za:;kąt nachylenia prostej;składową stałą w obrazie;wysokie częstotliwości na obrazie x;pole powierzchni obiektu;;b
"Dla obrazu rzeczywistego (np.""lena"") wykonujemy przeskalowanie do dwukrotnie większej rozdzielczości. Stosujemy dwie metody: ``najbliższego sąsiada'' oraz interpolację.Która da lepszy rezultat (wprowadza mniejszą liczbę artefaktów)?";interpolacja;obie dadzą zbliżony wynik;najbliższego sąsiada;;;a
Czy przyjmując rozmiar okna globalnego równy rozmiarowi okna lokalnego, filtr NL-means (non-local means) sprowadza się do filtra bilateralnego?;tak;nie;;;;b
Wskaż poprawne zdania o algorytmach binaryzacji poznanych na zajęciach:;do segmentacji obrazów o niejednorodnym oświetleniu najlepiej nadaje się, któraś z globalnych metod;w doborze progu binaryzacji największe znaczenie ma analiza histogramu;w metodzie Sauvoli próg binaryzacji wyznaczany jest na podstawie otoczenia analizowanego piksela;metoda Otsu wymaga podania dwóch progów T1 i T2;;bc
Czy za pomocą odpowiedniej modyfikacji transformaty Hougha można wykryć okręgi na obrazie?;tak;nie;;;;a
F-obraz (obraz po przekształceniu dyskretną transformatą Fouriera) jest to reprezentacja w dziedzinie:;przestrzeni;czasu;częstotliwości;fazy;;c
Erozję dla obrazów w odcieniach szarości możemy opisać jako filtr(y):;minimalny;górnoprzepustowy;dolnoprzepustowy;maksymalny;;a
Ile maksymalnie etykiet można nadać obrazowi, który zawiera N poziomów szarości?;N+1;N;jest to zależne od treści obrazu;N-1;;c
Czy na podstawie składowej luminancji (Y) i dwóch składowych chrominancji (Cr, Cb) możliwe jest odtworzenie barw podstawowych RGB? ;tak, ale tylko dla obrazów po korekcji gamma;tak, ale tylko dla obrazów po wyrównywaniu histogramu;nie;tak;;d
Zaznacz zdania prawdziwe:;dla filtracji dolnoprzepustowej nowa wartość piksela może być wartością z obrazu wejściowego;dla filtracji dolnoprzepustowej nowa wartość piksela zawsze jest wartością z obrazu wejściowego;dla filtracji medianowej z oknem o nieparzystej liczbie elementów nowa wartość piksela zawsze jest wartością z obrazu wejściowego;;;ac
Jak nazywa się miejsce połączenia siatkówki i nerwu wzrokowego:;plamka ślepa;plamka żółta;tęczówka;rogówka;;a
Czy za pomocą odpowiedniej modyfikacji transformaty Hougha można wykryć elipsy na obrazie?;nie;tak;;;;b
Czy za pomocą operacji LUT można wyznaczyć negatyw z obrazu?;FAŁSZ;PRAWDA;;;;b
W metodzie BBHE (Bi-Histogram Equalization) histogram dzieli się na podstawie:;średniej jasności w obrazie;liczby pikseli w podobrazach;dominanty jasności w obrazie;średniej jasności w przetwarzanym oknie;;a
Filtr kombinowany:;do łączenia wyników filtracji stosuje się formułę Euklidesową lub modułową;służy np. do wykrywania krawędzi;to złożenie dwóch lub więcej filtrów prostych (np. Sobel, Prewitt);;;ab
Wykonanie operacji DCT na obrazie (fragmencie obrazu) w dwóch etapach (jako dwie jednowymiarowe transformaty po wierszach i kolumnach) skutkuje:;zwiększeniem obciążenia procesora;zmniejszeniem złożoności obliczeniowej;uzyskaniem dokładniejszych wyników;powstaniem znacznych błędów obliczeniowych;;b
Który z podanych akronimów nie jest oznaczeniem przestrzeni kolorów:;RGB;CMYK;YYU;Lac;HSV;cd
Dwukrotną redukcję rozdzielczości obrazu można osiągnąć stosując kolejno:;podpróbkowanie i filtrację dolnoprzepustową;filtrację dolnoprzepustową i nadpróbkowanie;filtrację dolnoprzepustową i podpróbkowanie;filtrację górnoprzepustową i podpróbkowanie;;c
W metodzie DSIHE (Dualistic Sub-Image Histogram Equalization) histogram dzieli się na podstawie:;liczby pikseli w podobrazach;dominanty jasności w obrazie;średniej jasności w przetwarzanym oknie;średniej jasności w obrazie;;a
Czy konwersja z RGB do odcieni szarości jest operacją odwracalną?;nie;tak, ale tylko dla obrazów po korekcji gamma;tak, ale tylko dla obrazów po wyrównywaniu histogramu;tak;;a
Które z poniższych zakłóceń może być lepiej usunięte przez medianę niż przez filtru średniający:;nierównomierne oświetlenie sceny;usunięcie szumu o rozkładzie normalnym (Gaussa);niewykorzystanie wszystkich poziomów jasności;usunięcie szumu salt and paper;;d
